"Original Text","Initial","Machine translation","Better translation","Best translation"
"交流戦","","Exchange Games","Exhibition Match",""
"あと2日","","2 more days","2 day(s) left",""
"あと1日","","One day left","1 day(s) left",""
"地区予選","","District Qualifier","District Qualifier",""
"対策案を考える","","Consideration of countermeasure plan","Considers a Countermeasure Plan",""
"あと7日","","7 more days","7 day(s) left",""
"あと6日","","6 more days","6 day(s) left",""
"あと5日","","5 more days","5 day(s) left",""
"あと4日","","4 more days","4 day(s) left",""
"あと3日","","3 more days","3 day(s) left",""
"八会で優勝","","Winner at the Eighth Meeting","Wins the Hachioji Tournament",""
"交流戦まであと2日","","2 days to go until the exchange game","2 day(s) left until the Exhibition Match",""
"交流戦まであと1日","","1 more day to go to the exchange games","1 day(s) left until the Exhibition Match",""
"地区予選まであと2日","","2 days to go until the preliminary round","2 day(s) left until the District Qualifier",""
"地区予選まであと1日","","1 day to go to the regional qualifiers","1 day(s) left until the District Qualifier",""
"本戦まであと12日","","12 days to go to the Main Event","12 day(s) left until the Main Event",""
"本戦まであと11日","","11 days to the Main Draw","11 day(s) left until the Main Event",""
"本戦まであと10日","","10 days to the Main Draw","10 day(s) left until the Main Event",""
"本戦まであと9日","","9 days to go to the final round","9 day(s) left until the Main Event",""
"本戦まであと8日","","8 days to go to the Main Draw","8 day(s) left until the Main Event",""
"本戦まであと7日","","7 days to go until the Final","7 day(s) left until the Main Event",""
"本戦まであと6日","","6 days to go to the Main Draw","6 day(s) left until the Main Event",""
"本戦まであと5日","","5 days to go to the Main Draw","5 day(s) left until the Main Event",""
"本戦まであと4日","","4 days to go to the Main Draw","4 day(s) left until the Main Event",""
"本戦まであと3日","","3 days to go to the Main Draw","3 day(s) left until the Main Event",""
"本戦まであと2日","","2 days to go to the Main Draw","2 day(s) left until the Main Event",""
"本戦まであと1日","","1 day to go to Final","1 day(s) left until the Main Event",""
"準決勝まであと3日","","3 days to go to Semifinals","3 day(s) left until the Semi-finals",""
"準決勝まであと2日","","2 days to go to Semifinals","2 day(s) left until the Semi-finals",""
"準決勝まであと1日","","1 day to go to Semifinals","1 day(s) left until the Semi-finals",""
"決勝まであと5日","","5 days to the final","5 day(s) left until the Finals",""
"決勝まであと4日","","4 days to the final","5 day(s) left until the Finals",""
"決勝まであと3日","","3 days to the final","3 day(s) left until the Finals",""
"決勝まであと2日","","2 days to final","2 day(s) left until the Finals",""
"決勝まであと1日","","1 day to final","1 day(s) left until the Finals",""
"異変を解決","","Resolve the anomaly","Resolves the Crisis",""
"霧の襲来まであと14日","","14 days to fog","14 day(s) left until the Fog Hits",""
"霧の襲来まであと13日","","13 days to fog","13 day(s) left until the Fog Hits",""
"霧の襲来まであと12日","","12 days to fog","12 day(s) left until the Fog Hits",""
"霧の襲来まであと11日","","11 days to fog","11 day(s) left until the Fog Hits",""
"霧の襲来まであと10日","","10 days until the fog arrives","10 day(s) left until the Fog Hits",""
"霧の襲来まであと9日","","9 days to fog","9 day(s) left until the Fog Hits",""
"霧の襲来まであと8日","","8 more days till the fog arrives","8 day(s) left until the Fog Hits",""
"霧の襲来まであと7日","","7 days to fog","7 day(s) left until the Fog Hits",""
"霧の襲来まであと6日","","6 days until the fog arrives","6 day(s) left until the Fog Hits",""
"霧の襲来まであと5日","","5 days to fog","5 day(s) left until the Fog Hits",""
"霧の襲来まであと4日","","4 more days till the fog arrives","4 day(s) left until the Fog Hits",""
"霧の襲来まであと3日","","霧の襲来まで3 more days","3 day(s) left until the Fog Hits",""
"霧の襲来まであと2日","","霧の襲来まで2 more days","2 day(s) left until the Fog Hits",""
"霧の襲来まであと1日","","One more day until the fog hits.","1 day(s) left until the Fog Hits",""
