"Original Text","Initial","Machine translation","Better translation","Best translation"
"合宿","","","",""
"トップ","","","",""
"cg/bg_26_sea_b.jpg","","","",""
"BGM/wave1.mp3","","","",""
"1","","","",""
"\Eさあ合宿だ！
どうしようかな…","","","\E\font[3]\f[18]\-[2]Here comes the training camp! 
What should I do...?",""
"\E午後はどうしようか…？","","","\E\font[3]\f[18]\-[2]What should I do in the afternoon?",""
"攻撃の能力を鍛えたい！","","","\font[3]\f[17]Train my offensive abilities!",""
"防御の能力を鍛えたい！","","","\font[3]\f[17]Train my defensive abilities!",""
"スキル能力を鍛えたい！","","","\font[3]\f[17]Train my skill abilities!",""
"リフレッシュする！","","","\font[3]\f[17]Refresh and recharge!",""
"\Eだいぶ疲れているがいいのか？
\c[2]特訓効果と調子が下がります。\c[0]","","","\E\font[3]\f[18]\-[2]I feel tired, but is this okay?
\c[2]Training effectiveness and condition will decrease.\c[0]",""
"はい","","","\font[3]\f[17]Yes",""
"いいえ","","","\font[3]\f[17]No",""
"\Eやるか…。","","","\E\font[3]\f[18]\-[2]Let's do it...",""
"\Eよし！やるぞ！","","","\E\font[3]\f[18]\-[2]Alright! Let's go!",""
"\Eうおおお！リフレッシュするぞ！","","","\E\font[3]\f[18]\-[2]Uooohh! I'm going to recharge myself!",""
"cg/event44_02.jpg","","","",""
"cg/event44_01.jpg","","","",""
"\Eやる気があがった！","","","\E\font[3]\f[18]\-[2]I feel more motivated!",""
"<SQUARE>","","","",""
"妹","","","\font[3]\f[18]Imouto",""
"\Eおにーちゃーん！","","","\E\font[3]\f[18]\-[2]Onii-chan!",""
"\Eおつかれさま。
そろそろお昼にしよ。","","","\E\font[3]\f[18]\-[2]Great work. 
It's about time for lunch.",""
"\Eお、もうそんな時間か。","","","\E\font[3]\f[18]\-[2]Oh, is it already that time of day?",""
"ユカリ","","","\font[3]\f[18]Yukari",""
"\Eはいラスト一本～！","","","\E\font[3]\f[18]\-[2]Alright, one last game!",""
