"Original Text","Initial","Machine translation","Better translation","Best translation"
"┣コミュニケーション","","","",""
"\E今日はもう疲れたな…。","","","\E\font[3]\f[18]\-[2]I'm already tired today...",""
"\Eもう遅いからやめておこうぜ。","","","\E\font[3]\f[18]\-[2]It's getting late, so let's leave it for another time.",""
"\E…眠くてそれどころじゃないな。","","","\E\font[3]\f[18]\-[2]I'm too tired to think about that right now.",""
"読書","","","",""
"コミュトップ","","","",""
"会話する","","","\font[3]\f[17]Talk with her",""
"\cself[5]","","","\cself[5]",""
"おちんちんびろーん！","","","\font[3]\f[17]Get dick out",""
"機嫌を取る","","","\font[3]\f[17]Humor her",""
"会話","","","",""
"他愛もない話題","","","\font[3]\f[17]Trivial Topic",""
"えっちな話題","","","\font[3]\f[17]Lewd Topic",""
"怖い話","","","\font[3]\f[17]Scary Story",""
"\Eなあ……","","","\E\font[3]\f[18]\-[2]Hey......",""
"\E…………","","","\E\font[3]\f[18]\-[2]...........",""
"\E気まずい時間を過ごした…。","","","\E\font[3]\f[18]\-[2]The atmosphere felt awkward for a while...",""
"\Eちょっと気まずい時間を過ごした…。","","","\E\font[3]\f[18]\-[2]The atmosphere felt slightly awkward for a while...",""
"\E他愛もない話をした。","","","\E\font[3]\f[18]\-[2]We talked about trivial things.",""
"\E意外と盛り上がった。","","","\E\font[3]\f[18]\-[2]It turned out to be more engaging than I expected.",""
"\Eお前、知ってるか？","","","\E\font[3]\f[18]\-[2]Have you heard about this?",""
"妹","","","\font[3]\f[18]Imouto",""
"\E………………はぁ…。","","","\E\font[3]\f[18]\-[2]..........Hah....",""
"\E………………そうなんだ。","","","\E\font[3]\f[18]\-[2]..........Oh, I see.",""
"\Eちょっとえっちな話をした。","","","\E\font[3]\f[18]\-[2]We talked about lewd things.",""
"\E普通に嫌がられた。","","","\E\font[3]\f[18]\-[2]She hated that.",""
"\Eいや、実はな……","","","\E\font[3]\f[18]\-[2]Well, actually...",""
"\E……ごめん、お話しする気分じゃないの。","","","\E\font[3]\f[18]\-[2].....Sorry, I'm not in the mood for talking.",""
"\E……や、やめてよ…。","","","\E\font[3]\f[18]\-[2].....Sto, stop...",""
"\E怪談話をした。","","","\E\font[3]\f[18]\-[2]We talked about ghost stories.",""
"※トイレについてきてフラグ","","","",""
