"Original Text","Initial","Machine translation","Better translation","Best translation"
"討伐イベント","","","",""
"背景の表示","","","",""
"cg/bg_08_ruins_a.jpg","","","",""
"Picture/card0000.jpg","","","",""
"進行","","","",""
"ポジティブ","","","",""
"ネガティブ","","","",""
"選択肢あり","","","",""
"通常進行","","","",""
"\E任務は順調だ…！","","\The E mission is going well...!","\E\font[3]\f[18]\-[2]Our mission is going well...",""
"ツボ","","","",""
"\Eツボだ！","","\It's an E urn!","\E\font[3]\f[18]\-[2]We found a pot!",""
"\E中には…………………","","\Inside the E...","\E\font[3]\f[18]\-[2]Inside, there is......",""
"アイテム","","","",""
"SE/se_book01.mp3","","","",""
"Picture/card0051.jpg","","","",""
"SE/[System]Get1_default.ogg","","","",""
"\Eお宝発見！！\c[7]\cself[13]\c[0]Gを手に入れた！","","\E Treasure Found!! \c[7]\cself[13]]\c[0]G obtained!","\E\font[3]\f[18]\-[2]We found a treasure! \c[7]\cself[13]G obtained\c[0]!",""
"エネミー","","","",""
"\Eホーホッホッホーだ！","","","\E\font[3]\f[18]\-[2]It's a Ho-ho-ho-ho!",""
"SE/sword-slash1.mp3","","","",""
"Picture/card0052.jpg","","","",""
"\E…が撃退した！","","\E... repelled it!","\E\font[3]\f[18]\-[2]...We fought it off!",""
"\E何もなかった…！","","\E There was nothing...!","\E\font[3]\f[18]\-[2]There is nothing...!",""
"エンカウント","","","",""
"ゲット","","","",""
"回復回数","","","",""
"\E美味しそうな果実を見つけた！
\c[7]休憩回数+1\c[0]","","\E I found a delicious fruit!
\c[7]Number of breaks increased by 1\c[0]","\E\font[3]\f[18]\-[2]We found some delicious looking fruits! 
\c[7]+1 rest attempt\c[0]!",""
"SE/decision24.mp3","","","",""
"\E喉の渇きが解消された！","","","\E\font[3]\f[18]\-[2]Our thirst has been quenched!",""
"お金","","","",""
"\Eこれは…！道端で\c[7]えっちな本\c[0]を拾った！","","\E This is ...! Picked up \c[7]A dirty book.\c[0] on the side of a road","\E\font[3]\f[18]\-[2]This is...! I picked up a \c[7]naughty book\c[0] on the side of the road!",""
"休憩","","","",""
"\Eいい感じの物陰で休息した。","","\E I rested in the shadows.","\E\font[3]\f[18]\-[2]We took a rest in a nice secluded spot.",""
"回復の泉だ！","","","",""
"\E回復の泉だ！","","\It’s the Fountain of E Recovery!","\E\font[3]\f[18]\-[2]It's a healing spring!",""
"\Eこれは…！道端で\c[7]コンドーム\c[0]を拾った！","","\E This is ...! Picked up \c[7]Condom\c[0] on the side of a road","\E\font[3]\f[18]\-[2]This is...! I picked up a \c[7]condom\c[0] on the side of the road!",""
"\E荒野のアレが転がってきた！","","\That thing in the E Wasteland came tumbling!","\E\font[3]\f[18]\-[2]Something from the wilderness came rolling in!",""
"補給物資","","","",""
"ユカリ","","","\font[3]\f[18]Yukari",""
"\Eみんなー。","","\E-Everyone.","\E\font[3]\f[18]\-[2]Everyone.",""
