"Original Text","Initial","Machine translation","Better translation","Best translation"
"■大討伐依頼","","","",""
"cg/bg_17_main.jpg","","","",""
"ユカリ","","Yukari","\font[3]\f[18]Yukari",""
"\Eじゃあみんな、行ってらっしゃい","","\EWell then, everyone, take care and have a safe journey.","\E\font[3]\f[18]\-[2]Well everyone, please be careful.",""
"　よし、出発だ！　","","　Alright, let's go!","\font[3]\f[17]Let's get this started!",""
"みんな","","Everyone","\font[3]\f[18]Everyone",""
"\Eおーっ！","","\EOh!","\E\font[3]\f[18]\-[2]Ohhh!",""
"BGM/We_are_Going.ogg","","","",""
"トップ","","","",""
"\E\f[16]\v[443]/\v[442]","","\E\f[16]\v[443]/\v[442]","\E\font[3]\f[16]\-[2]\v[443]/\v[442]",""
"行動力チェック","","","",""
"\Eこれ以上は無理そうだな…
今回はここまでにしておこう…。","","\EIt seems like it's impossible to go any further...
Let's stop here for now...","\E\font[3]\f[18]\-[2]It appears that continuing further is not feasible... 
Let's stop here for now.",""
"帰還処理","","","",""
"cg/bg_26_sea_a.jpg","","","",""
"イカ大王","","","",""
"\Eイカ大王に遭遇した！","","\EEncountered the Giant Squid King!","\E\font[3]\f[18]\-[2]Encountered Giant Squid King!",""
"習得経験値","","","",""
"報酬評価","","","",""
"cg/bg_09_town_b.jpg","","","",""
"殺人鬼","","","",""
"\Eサイコマッチョに遭遇した！","","\EEncountered a psycho macho!","\E\font[3]\f[18]\-[2]Encountered Psycho Macho!",""
"cg/bg_09_town_a.jpg","","","",""
"メンヘラ","","","",""
"\Eメンヘラちゃんに遭遇した！","","\EEncountered a yandere girl!","\E\font[3]\f[18]\-[2]Encountered Menhera-chan!",""
"cg/bg_10_prairie_a.jpg","","","",""
"サイレントキラー","","","",""
"\Eサイレントキラーに遭遇した！","","\EEncountered a silent killer!","\E\font[3]\f[18]\-[2]Encountered Silent Killer!",""
"cg/bg_25_road_a.jpg","","","",""
"アザラ勇者","","","",""
"\Eアザラ勇者一行に遭遇した！","","\EEncountered the party of Azara heroes!","\E\font[3]\f[18]\-[2]Encountered Seal Hero!",""
"勝ち","","","",""
"負け","","","",""
"メニュー","","","",""
"エリアイベント","","","",""
"処理ジャンプ","","","",""
"メニュー2","","","",""
"討伐の画面レイアウトを作ります","","","",""
"\c[2]\E\f[14]●渇き\c[0]\f[12]（行動消費+1）","","\c[2]\E\f[14]●Thirst\c[0]\f[12] (Action cost +1)","\E\c[2]\f[14]\-[2]●\font[3]Thirsty\c[0]\f[12](Stamina Uses +1)",""
"\c[2]\E\f[14]●難所\c[0]\f[12]（休憩不能区間）","","\c[2]\E\f[14]●Difficult Area\c[0]\f[12](No Rest Zone)","\E\c[2]\f[14]\-[2]●\font[3]Difficult Terrain\c[0]\f[12](Resting Disabled)",""
"\E\f[16]\c[9]●●●","","","",""
"\E\f[16]\c[9]●●\c[0]○","","","",""
"\E\f[16]\c[9]●\c[0]○○","","","",""
"\E\f[16]○○○","","","",""
"任務内容の表示","","","",""
"\c[14]休む\c[0]","","\c[14]Rest\c[0]","\font[3]\f[17]\c[14]Rest\c[0]",""
"休む","","Take a break.","\font[3]\f[17]Rest",""
"選択肢の表示","","","",""
"進む","","Move forward.","\font[3]\f[17]Advance",""
"\cself[5]","","\cself[5]","\font[3]\f[17]\cself[5]",""
"帰還","","Return","\font[3]\f[17]Retreat",""
"\Eここいらで休憩しておこう。","","\ELet's take a break around here.","\E\font[3]\f[18]\-[2]Let's take a break around here.",""
"カナ","","Kana","\font[3]\f[18]Kana",""
"\Eそだね。","","\ESure thing.","\E\font[3]\f[18]\-[2]Fine by me.",""
"ユイ","","Yui","\font[3]\f[18]Yui",""
"\Eはい。","","\EYes.","\E\font[3]\f[18]\-[2]Understood.",""
"カスミ","","Kasumi","\font[3]\f[18]Kasumi",""
"\Eは、はいっ！","","\EYes!","\E\font[3]\f[18]\-[2]O-Okay!",""
"cg/training_f1.jpg","","","",""
"cg/training_f2.jpg","","","",""
"SE/decision24.mp3","","","",""
"\E喉の渇きが解消された！","","\EMy thirst has been quenched!","\E\font[3]\f[18]\-[2]Our thirst has been quenched!",""
"\Eこの辺で遠征を切り上げるのか…？","","\EAre we ending the expedition around here...?","\E\font[3]\f[18]\-[2]Are we calling off the expedition around here...?",""
"はい","","Yes","\font[3]\f[17]Yes",""
"いいえ","","No","\font[3]\f[17]No",""
"\Eそうだな、このくらいにしておこうか。","","\EWell, let's leave it at this.","\E\font[3]\f[18]\-[2]Sounds good, let's end it here for now.",""
"SE/[Effect]ZAZAZAZA_panop.ogg","","","",""
"\E任務を中断し帰路についた。","","\EI interrupted the mission and headed back home.","\E\font[3]\f[18]\-[2]We halted the mission and retreated back home.",""
"終了処理","","","",""
"\E討伐を完了した！","","\EQuest complete!","\E\font[3]\f[18]\-[2]Mission accomplished!",""
"\E触手を手に入れた！","","\EObtained tentacles!","\E\font[3]\f[18]\-[2]I got tentacles!",""
"倒したらリセット","","","",""
"\E任務は失敗に終わった…。","","\EThe mission ended in failure...","\E\font[3]\f[18]\-[2]The mission ended in failure...",""
"怪我","","","",""
"\E怪我をしてしまった…。
やる気が下がった。","","\EI got injured... 
My motivation dropped.","\E\font[3]\f[18]\-[2]I ended up getting injured... 
My motivation has dropped.",""
"サブメニュー表示","","","",""
"Picture/sub_button01.png","","","",""
"お知らせアイコン108","","","",""
"Picture/sub_button02.png","","","",""
"アイテムアイコン109","","","",""
"Picture/sub_button03.png","","","",""
"ステータスアイコン110","","","",""
"Picture/sub_button04.png","","","",""
"最終戦","","","",""
"通常処理","","","",""
"最後の戦い","","","",""
"出発進行","","","",""
"乱数","","","",""
"経験1","","","",""
"経験2","","","",""
"経験3","","","",""
"経験4","","","",""
"勝敗","","","",""
"取得スキルp","","","",""
"触手","","","",""
"初回追加討伐","","","",""
