"Original Text","Initial","Machine translation","Better translation","Best translation"
"■■早朝処理","","","",""
"BGM/sparrows.mp3","","","",""
"BGM/morning.ogg","","","",""
"cg/bg_01_home_a.jpg","","","",""
"万一カットインが残っていた場合の処理","","","",""
"早朝演出　深夜に和姦H+気まずくない場合","","","",""
"イラストをフェード","","","",""
"妹","","Younger sister","",""
"cg/event47_01.jpg","","","",""
"\E…………","","\E…………","",""
"cg/event47_02.jpg","","","",""
"\E……んー……","","\E...Hmm...","",""
"cg/event47_04.jpg","","","",""
"\E……ふぁ…","","\E...fah...","",""
"cg/event47_05.jpg","","","",""
"\E…ぁ…おにいちゃん……","","\E...Ah...Onii-chan...","",""
"cg/event47_06.jpg","","","",""
"\E………おはよ。","","\E...Good morning.","",""
"cg/event47_08.jpg","","","",""
"\E…えへ…なんか恥ずかしいね♥","","\E...Ehe...It's kind of embarrassing, isn't it? ♥","",""
"曜日処理へ","","","",""
"朝のやり取り","","","",""
"そのままお家スタートです。","","","",""
"\E…………。","","\E………….","",""
"SE/se_basa.mp3","","","",""
"\E……はっ！","","\E...Hah!","",""
"\Eや…やってしまった……。","","\EI... I've done it...","",""
"\Eえっちな夢をみた。","","\EI had a naughty dream.","",""
"\Eしかし今日の夢はとても…えちえちだったな…
むむむっ…閃いたぞ…！","","\EHowever, today's dream was very... lewd... 
Hmm... I've got an idea...!","",""
"SE/Onmtp-Inspiration06-1.mp3","","","",""
"\Eスキル まんぐり返しのひらめきを得た！","","\EObtained the inspiration for the skill ""Counterattack Cunnilingus""!","",""
"\Eガバァッ！","","\EGabaah!","",""
"\Eおっ？
今日はいつもより元気な気がするぞ！","","\EOh? 
I feel more energetic than usual today!","",""
"\Eやる気があがった！","","\EI'm feeling motivated!","",""
"ここから","","","",""
"妹の早朝対応（休日）","","","",""
"気まずい対応","","","",""
"\E…っ……。","","\E...","",""
"休日通常処理","","","",""
"\E…っ……また…。","","\E...t...again...","",""
"Hしようねフラグがあるとき","","","",""
"行為を確信","","","",""
"\Eふぁ…え……あたし…なんで服…。
それにこれ…。","","\EUgh...eh...why am I...naked...
And this...","",""
"\E…えと…お兄ちゃん…
あたしが寝てるときに…変なことしないで。","","\EUm... Onii-chan... 
Please don't do anything weird while I'm sleeping.","",""
"はっきりと違和感","","","",""
"\E…あ、あれ？なんであたしこんな……。","","\E...Ah, huh? Why am I like this...","",""
"\E……お兄ちゃん。
昨日…なんか…したよね？","","\E...Big brother.
Yesterday...you did something, right?","",""
"軽い違和感","","","",""
"\E…あれ？なんか…
…気のせいかな？","","\E...Huh? Something...
...Is it just my imagination?","",""
"\E……ふぁ…ぁ……","","\E...Faa...","",""
"\Eん…お兄ちゃんおはよ。","","\EHmm... Good morning, big brother.","",""
"\E……な、なに？
あまり見られると照れちゃうよ…。","","\E...W-What? 
I get embarrassed when you stare at me too much...","",""
"\E……あ、起きた。","","\E...Ah, I woke up.","",""
"cg/event47_07.jpg","","","",""
"\Eお兄ちゃん、おはよ。","","\EGood morning, big brother.","",""
"\E…ふふ、まだ眠そ。","","\E...Hehe, still sleepy.","",""
"\Eふぁ……あふ…。","","\EPhew... Ahh...","",""
"\E……えへ、お兄ちゃんの欠伸うつっちゃった…。","","\E...Ehe, I accidentally caught your yawn, big brother...","",""
"\Eそろそろ起きよっか。","","\ETime to wake up, huh?","",""
"\E……また夜にえっちしようね♥","","\E... Let's have some fun together at night ♥","",""
"通常のやり取り","","","",""
"\E（う、うーん…
気まずい空気が流れているな…。","","\E (U-um... 
 There's an awkward atmosphere flowing...","",""
"\E（眠れなくて結局朝方まで起きててしまった…）","","\E (I couldn't sleep and ended up staying awake until morning...)","",""
"\Eやる気が下がった。","","\EMy motivation dropped.","",""
"\Eおはよう！お兄ちゃん！","","\EGood morning! Big brother!","",""
"\Eふぁ……お兄ちゃんおはよー……。","","\EPhew... Good morning, big brother...","",""
"\Eお兄ちゃんおはよー…あれ、どうしたの？","","\EGood morning, big brother... Oh, what's wrong?","",""
"\E昨夜なんだかよく眠れなくて…。","","\EI couldn't sleep well last night for some reason...","",""
"\E（結局朝方まで起きててしまった…）","","\E (In the end, I ended up staying awake until morning...)","",""
"ここまで","","","",""
"\E昨夜は妹の口でしてもらったんだよな…。
お互いの性器を舐めあえたらもっといいよな…。","","\ELast night, it was my sister who did it with her mouth...
It would be even better if we could lick each other's genitals...","",""
"\Eスキル シックスナインのひらめきを得た！","","\EObtained the inspiration for Skill Six Nine!","",""
"\E……………。","","\E…………….","",""
"\E……くんくん。","","\E...sniff sniff.","",""
"\E…ねえお兄ちゃん。","","\E...Hey big brother.","",""
"\E射精…したよね？
続けないとダメなんだよ！もーだいなしだよー…。","","\EDid you... ejaculate? 
You have to keep going! It's not over yet...","",""
"\E禁欲生活に失敗してしまった…。","","\EI failed at living a life of abstinence...","",""
"SE/se_minmin.mp3","","","",""
"cg/bg_02_house_a.jpg","","","",""
"\Eうーん、今日は暑い一日になりそうだ。","","\EHmm, it looks like today is going to be a hot day.","",""
"今日の寝相を熱帯夜用にします","","","",""
"\Eうわあ、今日はお外暑そうだねー","","\EWow, it looks hot outside today.","",""
"\E今日は暑い一日になりそうだ。","","\EToday is going to be a hot day.","",""
"\Eお兄ちゃん！","","\EBig brother!","",""
"\E今日は決勝がんばってね！
おうえんに行くからね！","","\EGood luck in the finals today! 
I'll be cheering for you!","",""
"\E今日は八会の決勝戦だ…！
がんばるぞ！","","\EToday is the final match of the Hachikai...! 
I'll do my best!","",""
"BGM/We_are_Going.ogg","","","",""
"合宿処理","","","",""
"2","","2","",""
"\Eほら、おにーちゃんも早くしないと遅れちゃうよー！","","\EHey, big brother, hurry up or you'll be late!","",""
"1","","1","",""
"\Eそういえば今日から温泉旅行か…。","","\EBy the way, starting today is the hot spring trip...","",""
"\Eよし！準備して出るか…！","","\EAlright! Let's get ready and go...!","",""
"cg/bg_17_main.jpg","","","",""
"ユカリ","","Yukari","",""
"\Eおはよう、お兄ちゃん妹ちゃん。","","\EGood morning, big brother and little sister.","",""
"　おはようございます　","","　Good morning.","",""
"\Eマスター、おはようございます。","","\EMaster, good morning.","",""
"カナ","","Kana","",""
"\Eお兄ちゃん遅いよー。","","\EBig brother, you're so slow.","",""
"ユイ","","Yui","",""
