"Original Text","Initial","Machine translation","Better translation","Best translation"
"自主トレ","","","",""
"\Eよーし…やるか！","","\EAlright... Let's do this!","\E\font[3]\f[18]\-[2]Alright... Let's do this!",""
"筋トレ","","","",""
"\Eふう…いい汗をかいたぞ…。","","\EPhew... I worked up a good sweat...","\E\font[3]\f[18]\-[2]Phew... I worked up a good sweat...",""
"素振り","","","",""
"走り込み","","","",""
"\Eだいぶ足腰が強くなってきた気がする…！","","\EI feel like my legs and back have gotten much stronger...!","\E\font[3]\f[18]\-[2]I feel like my legs and back have gotten much stronger...!",""
"SE/decision4.mp3","","","",""
"\Eスキル\c[1]強靭な体\c[0]のヒントを得た！","","\EObtained\c[1]the hint of\c[0]a strong body!","\E\font[3]\f[18]\-[2]Obtained skill inspiration: \c[1]Robust Body!\c[0]",""
"勉強","","","",""
"\Eふう…このくらいにしておくか…。","","\EPhew... I'll leave it at this...","\E\font[3]\f[18]\-[2]Phew... I'll leave it at this for now.",""
"メニュー内容","","","",""
"変動値1","","","",""
"変動値2","","","",""
"一時変数","","","",""
