"Original Text","Initial","Machine translation","Better translation","Best translation"
"妹プレイ傾向","","","",""
"大好きなお兄ちゃん","","Beloved big brother","",""
"信頼する兄","","Trusted older brother","",""
"兄","","Brother","",""
"\c[15]\f[14]不便もあるが\cself[5]と二人で暮らす。","","\c[15]\f[14]There are inconveniences, but \cself[5]we live together as a couple.","",""
"大冒険の末に期限付きだが一時的に健康を取り戻した。","","After a great adventure, I regained my health temporarily, but with a time limit.","",""
"病を克服するため兄と二人あの世界樹を目指している。","","To overcome the illness, my brother and I are aiming for that World Tree.","",""
"調子のいい日は大冒険と称して兄と出かける事もある。","","On good days, I sometimes go out with my brother, calling it a grand adventure.","",""
"生まれつき身体が弱く、寝込むこともしばしばある。","","I am often bedridden due to my weak physical condition since birth.","",""
"\c[15]\f[14]\cself[5]","","\c[15]\f[14]\cself[5]","",""
"えっちへの興味は旺盛","","Interest in ecchi is strong.","",""
"で","","At","",""
"だが","","However","",""
"性については覚えたてで","","Regarding sexuality, I'm just starting to learn.","",""
"性が芽生えてきた年頃で","","At the age when sexual desires start to awaken","",""
"性への知識は乏しく","","Lack of knowledge about sex","",""
"オナニーすることも結構ある。","","There are also quite a few times when I masturbate.","",""
"ひっそり自慰することがある。","","There are times when I quietly masturbate.","",""
"未だ自慰さえもしたことがない。","","I have never even masturbated.","",""
"\c[15]\f[14]\cself[6]\cself[7]\cself[5]","","\c[15]\f[14]\cself[6]\cself[7]\cself[5]","",""
"初めてを兄に捧げ","","Offering my first time to my older brother","",""
"睡眠中に処女を失い","","Losing my virginity while sleeping","",""
"処女の身ではあるものの","","Although I am still a virgin","",""
"とうぜん処女であり","","Of course, I am a virgin.","",""
"毎晩のように","","Every night, like clockwork.","",""
"深夜に度々","","Frequently in the late night.","",""
"夜は何も知らぬまま","","At night, unaware of anything.","",""
"肛門まで開発され","","Developed up to the anus.","",""
"肛門を開発され","","Developed anus","",""
"眠りにつき平穏に","","Fall asleep peacefully.","",""
"身体を重ねあい","","Bodies intertwine","",""
"\c[15]\f[14]\cself[5]\cself[6]\cself[7]","","\c[15]\f[14]\cself[5]\cself[6]\cself[7]","",""
"盛大に潮を吹きイキ狂い","","Blow the tide grandly and go crazy","",""
"お互いを求め合いながら","","Seeking each other","",""
"少しずつ快楽を覚えさせられて","","Gradually being taught pleasure","",""
"\c[15]\f[14]\cself[5]朝を迎える日々を過ごす。","","\c[15]\f[14]\cself[5]Spending days welcoming the morning.","",""
"大冒険完了済み","","","",""
