"Original Text","Initial","Machine translation","Better translation","Best translation"
"入力中","","","",""
"鏡フェラ","","","",""
"鏡フェラ1","","","",""
"cutin/cutin_135.png","","","",""
"\Eんふ…っ…れろ……っ…っぷは…。
ふふ…先っぽからしょっぱいの出てきたよ…ちゅ…。","","\ENfu... Lero... Puh...
Hehe... Something salty came out from the tip... Chu...","",""
"\E…いっぱい溜めてたね？出したかった…？
いいよ…ぜんぶ飲んであげるからね。","","\E...You've been holding it in, haven't you? You wanted to let it out...? 
It's okay... I'll drink it all for you.","",""
"鏡フェラ2","","","",""
"鏡フェラ射精","","","",""
"\E…ん…こく……ごちそうさま。","","\E...Mmm...this...is...delicious.","",""
"\Eお兄ちゃん、スッキリできた？
もうおちんちん平気？","","\EDid you feel refreshed, big brother? 
Are you okay down there?","",""
"cutin/cutin_136.png","","","",""
"\E残った精子も…ちゃんと絞り吸ってあげるからね…。
はむ…ん……ちゅ…ちゅぱ……。","","\EI'll make sure to suck out all the remaining sperm properly...
Mmm...ngh...suck...suck...","",""
"\Eん…ちゅ…ちゅる…っ…。
ふふ…まだちょっと味がする…ちゅ…ん……ちゅ…。","","\EHmm...chu...chewy...ah...
Hehe...it still tastes a little...chu...hmm...chu...","",""
"\E……………","","\E……………","",""
"妹","","","",""
"\Eっぷは…！
はい、これでキレイになったかな？","","\EPupu...!
Yes, I wonder if it's clean now?","",""
"\E………。","","\E........","",""
"\E……………。","","\E…………….","",""
"\E……お兄ちゃん。","","\E...Big brother.","",""
"\E…ここ…まだおっきいね？
もっと…もっと出したがってるよ…？ね？","","\E...Here... It's still big, isn't it? 
Want me to show you more...? Right?","",""
"\E…だしちゃお？おちんちん苦しそうでかわいそうだよ？
あたし…飲んであげるから…ぴゅっぴゅしよ？","","\E... Shall I do it? Your little penis looks so uncomfortable and pitiful, you know? 
I'll... give you a drink... and make you feel good...","",""
"\f[16]\Eオナニー中…","","\f[16]\EMasturbating...","",""
"cutin/cutin_163.png","","","",""
"鏡フェラ追撃","","","",""
"\f[16]\Eフェラチオ中…","","\f[16]\EDuring fellatio...","",""
"cutin/cutin_148.png","","","",""
"\f[16]\E絶頂中…","","\f[16]\EIn the climax...","\E\font[3]\f[16]\-[2]Climaxing...",""
"cutin/cutin_164.png","","","",""
"鏡フェラ追撃射精","","","",""
"\Eこくっ……っ…んく…ん……こくん。","","\EKokuh... nku... n... kokun.","",""
"\Eっぷぁ…っ…ちゅぅ…。","","\EP-please...chu...","",""
"\Eえへー…またイかせちゃった。
夜のぶんも残しておかないとだよね、ごめんね。","","\EEhe... I made you come again.
I have to leave some for the night too, sorry.","",""
"cg/event_04_1.jpg","","","",""
"\Eん！じゃあお風呂入っちゃお。
おにーちゃんの身体も洗ってあげるね。","","\EHmm! Then let's take a bath.
I'll wash your body too, big brother.","",""
