"Original Text","Initial","Machine translation","Better translation","Best translation"
"○┣休み系","","","",""
"早寝早起き","","","",""
"ひと休み","","","",""
"\E…ふう…少し休もうか。","","\E...Phew... Maybe I should take a little break.","\E\font[3]\f[18]\-[2]...Phew... Maybe I should take a little break.",""
"妹","","Younger sister","\font[3]\f[18]Imouto",""
"\Eお兄ちゃん、お茶だよー。","","\EBig brother, here's some tea.","\E\font[3]\f[18]\-[2]Onii-chan, here's some tea.",""
"\E……………………。","","\E……………………。","\E\font[3]\f[18]\-[2]...............",""
"\Eのんびりと過ごしたぞ。","","\EI spent a relaxing time.","\E\font[3]\f[18]\-[2]I relaxed and enjoyed my time.",""
"夜ふかし","","","",""
"どか食い気絶部","","","",""
"\Eごちそうさま、ふー美味かった…！","","\EThank you for the meal, it was so delicious...!","\E\font[3]\f[18]\-[2]Thank you for the meal, it was so delicious...!",""
"\Eもー、お兄ちゃんもっとゆっくり食べないとだめだよー。","","\ECome on, big brother, you need to eat more slowly.","\E\font[3]\f[18]\-[2]Come on, Onii-chan, you need to eat more slowly.",""
"\Eんー…わかってるー……。","","\EHmm... I understand...","\E\font[3]\f[18]\-[2]Oh, I knoowww...",""
"\E……すや…。","","\E...Sleeping...","\E\font[3]\f[18]\-[2]...Zzz...",""
"cg/blackscreen.jpg","","","",""
"\E……。","","\E...","\E\font[3]\f[18]\-[2]......",""
"SE/se_basa.mp3","","","",""
"\Eはっ！？","","\EHuh!?","\E\font[3]\f[18]\-[2]Wha!?",""
"\E2時間経ってた。","","\EIt's been 2 hours.","\E\font[3]\f[18]\-[2]Two hours have passed.",""
"イベント内容","","","",""
"ひとやすみ","","","",""
