"Original Text","Initial","Machine translation","Better translation","Best translation"
"\cself[5]","","","",""
"\cself[7]","","","",""
"\cself[8]","","","",""
"\f[20]\s[7]","","","",""
"\cself[9]","","","",""
"\f[20]\s[4]","","","",""
"\f[20]\s[5]","","","",""
"\f[20]\s[6]","","","",""
"診療所の処理です","","","",""
"妹","","","",""
"\E身体早く治さないとだもんね…。
だいじょうぶ？一人で行ける？","","\EI need to heal my body quickly...
Are you okay? Can you go alone?","",""
"\Eどこか悪いの…？
だいじょうぶ？お兄ちゃん。","","\EIs something wrong...? 
Are you okay, big brother?","",""
"\E診療所に身体の治療に行くのか？","","\EAre you going to the clinic for physical treatment?","",""
"はい","","Yes","",""
"いいえ","","No","",""
"\E…ちょっと疲れたな。","","\E...I'm a little tired.","",""
"1","","","",""
"\E妹と散歩でもするか。","","\EShall we go for a walk with my little sister?","",""
"\E天気もいいし気分転換にその辺でも歩こうか。","","\EThe weather is nice, so let's take a walk around here for a change of pace.","",""
"\Eうん。","","\EYeah.","",""
"1.4.0/v144_cg2_2.jpg","","","",""
"\Eおにーちゃん、はやくー！","","\EBig brother, hurry up!","",""
"cg/bg_01_home_a.jpg","","","",""
"\Eただいまー。
今度お弁当もってお散歩したいね！","","\EI'm back.
Next time, I want to take a walk with a bento box!","",""
"\Eふぅ…いい気分転換になった気がする。","","\EPhew... I feel like I've had a good change of mood.","",""
"\Eやる気が上がった！","","\EI'm feeling motivated!","",""
"\E遊びに行くほどお金の余裕はないな…。","","\EI don't have enough money to go out and play...","",""
"\E今日は街まで行こうか。","","\EShall we go to the town today?","",""
"\Eわあい、おにいちゃんとお出かけだー！","","\EYay, it's time to go out with big brother!","",""
"1.4.0/v144_cg3_2.jpg","","","",""
"\Eただいまー！
お出かけ楽しかったー、またいこうね！","","\EI'm back! 
I had a great time going out, let's go again!","",""
"\Eふう…買い忘れはないよな…？","","\EPhew... I didn't forget to buy anything, right...?","",""
"泳ぎ","","","",""
"\Eよーし今日は泳ぎに行こうか！","","\EAlright, shall we go swimming today?","",""
"\Eえ、ええー？泳ぐの！？
み、水着出さなきゃ…！","","\EEh, eh? Swimming!? 
I-I have to get my swimsuit...!","",""
"cg/bg_25_road_a.jpg","","","",""
"cg/bg_13_road_a.jpg","","","",""
"cg/bg_26_sea_a.jpg","","","",""
"\Eおにーちゃーーん！","","\EOnii-chan!","",""
"\E…なんでスク水？","","\E...Why a school swimsuit?","",""
"　えっちしたい！　","","　I want to have sex!","",""
"　川で遊ぶ！　","","　Playing in the river!","",""
"お外エッチ","","","",""
"事前会話","","","",""
"\Eえ…ここで…するの……？","","\EHuh... Doing it here...?","",""
"\E……。","","\E... .","",""
"\Eお兄ちゃんがそんなにしたいなら…
…いい…けど……。","","\EIf you really want to, big brother... 
...fine... but...","",""
"1.4.0/v144_cg8_1.jpg","","","",""
"\Eえっと…これでいい、かな？
大丈夫かな…向こうから見えないよね…？","","\EUm... Is this okay, I wonder? 
I hope it's alright... They can't see it from over there, right...?","",""
"1.4.0/v144_cg8_2.jpg","","","",""
"\Eあ……えっと…や、優しくしてね…。","","\EAh... um... pl-please be gentle...","",""
"外だし","","","",""
"1.4.0/v144_cg8_3.jpg","","","",""
"\E…………あっ♥","","\E...Ah♥","",""
"\Eもう…そんなにおっきくして…我慢できなかったの？
…ふふ、仕方のないお兄ちゃん…。","","\EAlready... did it grow that much... couldn't you hold back?
...hehe, it can't be helped, big brother...","",""
"\E妹の水着姿を見たらしたくなっちゃったんだもんね…。
だったら…いいよ…気持ちいいこと、しよ♥","","\EWhen I saw my sister in a swimsuit, I couldn't help but want to...
So...let's do something pleasurable♥","",""
"1.4.0/v144_cg8_4.jpg","","","",""
"\Eあっ…♥
お兄ちゃんのが挿入って……。","","\EAh...♥
It's your insertion, big brother...","",""
"お兄ちゃんの行動","","","",""
"　中に出したい…　","","　I want to go inside...","",""
"　ぶっかけたい…　","","　I want to bukkake...","",""
"ルート処理","","","",""
"\E（今日は絶対に中に出すぞ…。","","","",""
"1.4.0/v144_cg8_5.jpg","","","",""
"\E……","","\E……","",""
"\Eあっ♥おにいちゃっ…っ…だめっ…♥
はげし…っ…あんっ♥…ぁ…あっ…あーっ！","","\EAh♥ Big brother... no...♥
Intense... ah♥... ah... ah!","",""
"\Eあ、お兄ちゃん…んん…あっ…きもちいいっ♥
…あたし…イっちゃう……っ！お外でイッちゃう…っ…！","","\EAh, big brother... mmm... ah... it feels so good♥
... I'm going to cum... outside...!","",""
"1.4.0/v144_cg8_6.jpg","","","",""
"\Eお兄ちゃん♥あっ♥あっ♥あっ…あーーーっ！！
イくっイクっ……っ…あ、イクイクイク…イッ………グッ……ぅ…っ♥","","\EBig brother♥ Ah♥ Ah♥ Ah... Ahhhhh!!
I'm coming, I'm coming... Ah, I'm coming, I'm coming, I'm coming... I'm... Gooood... Ahh♥","",""
"1.4.0/v144_cg8_7.jpg","","","",""
"\Eうっ…！","","\EUgh...!","",""
"\Eあ…お兄ちゃん…中で…出してる……っ…あ、ぁ……。
あぁ…きもちぃっ……ぁ…ん……あっ…。","","\EAh... Onii-chan... Inside... You're... releasing... ah, ah...
Ah... feels good... ah... n... ah...","",""
"1.4.0/v144_cg8_8.jpg","","","",""
"\E…………","","\E…………","",""
"\Eお兄ちゃん…中で出してくれたんだね…
えへへ…嬉しい……ありがと…。","","\EBig brother... You came inside, didn't you...
Hehe... I'm happy... Thank you...","",""
"\E（今日は妹のお尻にぶっかけたい…。","","\EI want to cum on my sister's butt today...","",""
"\E出るっ！","","\EI'm coming out!","",""
"1.4.0/v144_cg8_9.jpg","","","",""
"\Eあっ…あったかい…お兄ちゃんの…精子……。
びゅくびゅくってお尻に…ん……っ……ん……。","","\EAh... It's warm... Onii-chan's... semen...
Squirting into my butt... Mmm... Ah...","",""
"1.4.0/v144_cg8_10.jpg","","","",""
"\Eお兄ちゃん…ちゃんと外で出してくれたんだね…
優しくしてくれてありがとう…えへへ、大好き。","","\EBig brother... You let me go outside properly, didn't you... 
Thank you for being kind to me... Ehehe, I love you.","",""
"事後会話","","","",""
"\Eもう…せっかくここまで泳ぎに来たのに…
…気持ちよかったから…いいけど…♥","","\EI came all the way here to swim... 
...and it felt so good... so it's okay... ♥","",""
"\Eお兄ちゃんのケダモノ♥","","\EMy Brother's Beast♥","",""
"青姦終わり","","","",""
"やんわりお断り","","","",""
"\Eもう…気持ちはわかるけど…
お家に帰ってからね…お兄ちゃん♥","","\EI understand how you feel...
But let's talk about it when we get home, big brother ♥","",""
"普通にお断り","","","",""
"\Eもうっ…なに言ってるのお兄ちゃん！
そんなこと出来るわけ無いでしょ！","","\EUgh... What are you saying, big brother?!
There's no way I can do something like that!","",""
"通常処理へ","","","",""
"cg/event46_01.jpg","","","",""
"cg/bg_05_river_a.jpg","","","",""
"\Eただいまー！","","\EI'm back!","",""
"\Eお兄ちゃん！
楽しかったね！またいこうね！","","\EBig brother! 
It was fun, right? Let's go again!","",""
"\Eふう…楽しんでくれたみたいだぞ。","","\EPhew... It seems like you enjoyed it.","",""
"海","","","",""
"\Eよし！みんなを誘って海に行くぞ！","","\EAlright! Let's invite everyone and go to the beach!","",""
"\Eえっ！う、海に！？
じゅ、準備するね…！","","\EWhat! I, to the sea!?
I-I'll get ready...!","",""
"cg/bg_17_main.jpg","","","",""
"cg/bg_26_sea_b.jpg","","","",""
"SE/se_umi.mp3","","","",""
"\Eわー海だー！","","\EWow, it's the ocean!","",""
"\E……きゃーっ！","","\E...Kyaa!","",""
"\Eふぅ…楽しんでいるみたいだな。","","\EPhew... It looks like you're having fun.","",""
"cg/event44_02.jpg","","","",""
"cg/event44_01.jpg","","","",""
"\Eただいまー…ふわ…。
…えへ、ちょっと疲れちゃったね。","","\EI'm back... Phew...
Hehe, I'm a little tired.","",""
"\Eでも楽しかったー。
ありがとうお兄ちゃん、また行こうね。","","\EBut it was fun. 
Thank you, big brother. Let's go again.","",""
"\E休日を満喫したぞ…。","","\EI had a great time on my day off...","",""
"汎用温泉イベント","","","",""
"\E温泉に行くほどお金の余裕はないな…。","","\EI don't have enough money to go to a hot spring...","",""
"\Eよし！今日はみんなで温泉に行こうか！","","\EAlright! Shall we all go to the hot springs today?","",""
"\Eえっ！温泉！？
わかった…準備するね…！","","\EWhat! A hot spring!?
Alright... I'll get ready...!","",""
"cg/bg_01_home_d.jpg","","","",""
"\Eただいま！お兄ちゃん！","","\EI'm home! Big brother!","",""
"\Eいつか一緒にもっと遠くまで行けたらいいな…。
今日はありがとうお兄ちゃん。","","\EI hope we can go even further together someday...
Thank you, big brother.","",""
"\E温泉を満喫してしまったぞ。","","\EI completely enjoyed the hot springs.","",""
"\Eやったー！だいぼうけんだ！","","\EYay! It's a great adventure!","",""
"\E大冒険に出発しますか？","","\EAre you ready to embark on a great adventure?","",""
"\E…よし。","","\E...Alright.","",""
"\Eお兄ちゃん！今日はありがとう！
また大冒険しようね！","","\EBig brother! Thank you for today! 
Let's go on another great adventure!","",""
"\Eやめちゃうの…？","","\EAre you quitting...?","",""
"\E怪我が完治するまでは討伐どころじゃないな…。","","\EUntil my injury is fully healed, I'm in no condition to go on a hunt...","",""
"討伐","","","",""
"\Eユカリさんが依頼があるっていってたな…。","","\EYukari said she has a request...","",""
"\E依頼があったな…。","","\EI received a request...","",""
"\Eギルドまでいくのか？","","\EAre you going to the guild?","",""
"\Eお兄ちゃん今日はお仕事なの？","","\EAre you working today, big brother?","",""
"\E気をつけてね、お兄ちゃん。","","\EBe careful, big brother.","",""
"\E…よし、そろそろ出るか。","","\E...Alright, I guess it's time to go.","",""
"cg/bg_07_guild_a.jpg","","","",""
"初回会話","","","",""
"ユカリ","","Yukari","",""
"\Eあら、お兄ちゃん。","","\EOh, big brother.","",""
"\E依頼があるって聞いたんですけど…。","","\EI heard there was a request...","",""
"\Eそうねー、色々と厄介なのが揃っているわよー。","","\EWell, there are various troublesome things all gathered together, you know.","",""
"\Eはい、今ある依頼はこのくらいね。","","\EYes, there are about this many requests right now.","",""
"依頼トップ","","","",""
"\Eお疲れさま、お兄ちゃん。","","\EGood job, big brother.","",""
"イカ大王","","Squid King","",""
"サイコマッチョ","","Psycho Macho","",""
"メンヘラちゃん","","Mental illness girl","",""
"サイレントキラー","","Silent Killer","",""
"アザラ勇者","","Azara Hero","",""
"今日はやめておく","","Today, I'll pass.","",""
"\Eイカ大王はもう討伐されてるわね。","","\EThe Great Squid King has already been defeated, hasn't it?","",""
"ミッション説明","","","",""
"\E近くの漁村でイカ大王による被害報告が相次いでいるらしいわ。","","\EIt seems that there have been multiple reports of damage caused by the Giant Squid King in the nearby fishing village.","",""
"\E触手を使った連続攻撃と、
スミでの目くらましには気をつけてね。","","\EBe careful of the continuous attacks using tentacles and the blinding with smoke.
","",""
"引き継ぎチェックなど","","","",""
"\Eイカ大王の討伐でいい？","","\EIs it okay to defeat the Great Squid King?","",""
"\Eはーい、みんながんばってね。","","\EAlright, everyone, do your best.","",""
"\Eよく考えてみてね。","","\EThink carefully, okay?","",""
"\Eイカ大王の討伐の続きからでいい？","","\EIs it okay to continue from the defeat of the Great Squid King?","",""
"\Eやめるのね。","","\ESo you're quitting, huh.","",""
"\E前の依頼がまだ途中だけどいいの？","","\EIs it okay even though the previous request is still in progress?","",""
"\Eわかったわ。
じゃあ前のはキャンセルしてこっちを受けるわね。","","\EI got it.
Then, cancel the previous one and accept this one.","",""
"\Eじゃあ、みんながんばってね。","","\EWell then, everyone, do your best.","",""
"\Eサイコマッチョはもう討伐されてるわね。","","\EPsycho Macho has already been defeated, hasn't he?","",""
"\E街の方でサイコマッチョが現れたらしいわ。
それで腕の立つマッチョもだいぶやられているみたいなの。","","\EIt seems that a psycho macho has appeared in the town.
And it seems that even skilled machos have been beaten up quite a bit.","",""
"\E鍛え上げられた肉体から放たれる一撃がかなり厄介そうね。
やばいと思ったら防御に徹したほうがいいかも知れないわ。","","\EThe blow unleashed from a well-trained body seems quite troublesome.
If you think it's dangerous, it might be better to focus on defense.","",""
"\Eサイコマッチョの討伐でいい？","","\EIs it okay to defeat the Psycho Macho?","",""
"\Eサイコマッチョの討伐の続きからでいい？","","\EIs it okay to continue from the defeat of Psycho Macho?","",""
"\Eメンヘラちゃんは今はおとなしいみたいね。","","\EIt seems like Menhera-chan is quiet now.","",""
"\E大変よ、メンヘラちゃんが情緒不安定になったわ。","","\EIt's tough, Menhera-chan has become emotionally unstable.","",""
"\E理屈の通じない厄介な相手よ。
追い詰めすぎると捨て身になるから穏便に事を済ませてちょうだい。","","\EAn annoying opponent who doesn't listen to reason.
If you corner them too much, they'll resort to desperate measures, so please resolve things peacefully.","",""
"\Eメンヘラちゃんの対応でいい？","","\EIs it okay to handle Menhera-chan?","",""
"\Eメンヘラちゃん対応の続きからでいい？","","\EIs it okay to continue from the part where we dealt with the mentally unstable girl?","",""
"\Eサイレントキラーはもう討伐されてるわね。","","\EThe Silent Killer has already been defeated, hasn't it?","",""
"\E今年もサイレントキラー収穫の時期がやってきたわよー。","","\EIt's that time of year again for the Silent Killer Harvest.","",""
"\Eサイレントキラーは破裂される前に勝負をつける必要があるわ。
火力勝負で一気に押し込みましょ。","","\EYou need to settle the match before the Silent Killer explodes.
Let's push through with a firepower battle.","",""
"\Eサイレントキラーの討伐でいい？","","\EIs it okay to defeat the Silent Killer?","",""
"\Eサイレントキラーの討伐の続きからでいい？","","\ECan we continue from where we left off with the Silent Killer's subjugation?","",""
"\Eアザラ勇者はもう討伐されてるわね。","","\ESo the Azara Hero has already been defeated, huh?","",""
"\E大変よ、アザラシの勇者一行が現れたわ。","","\EOh no, a group of seal heroes has appeared.","",""
