"Original Text","Initial","Machine translation","Better translation","Best translation"
"┣お風呂メータ","","","",""
"\f[16]\E警戒度","","","\E\font[3]\f[16]\-[2]Awareness",""
"\c[9]□","","","",""
"\c[9]□□","","","",""
"\c[9]□□□","","","",""
"\c[9]□□□□","","","",""
"\c[9]□□□□□","","","",""
"\c[9]□□□□□□","","","",""
"\c[9]□□□□□□□","","","",""
"\c[9]□□□□□□□□","","","",""
"\c[9]□□□□□□□□□","","","",""
"\c[9]□□□□□□□□□□","","","",""
"\c[9]□□□□□□□□□□□","","","",""
"\c[9]□□□□□□□□□□□□","","","",""
"\c[9]■","","","",""
"\c[9]■■","","","",""
"\c[9]■■■","","","",""
"\c[9]■■■■","","","",""
"\c[9]■■■■■","","","",""
"\c[9]■■■■■■","","","",""
"\c[9]■■■■■■■","","","",""
"\c[9]■■■■■■■■","","","",""
"\c[9]■■■■■■■■■","","","",""
"\c[9]■■■■■■■■■■","","","",""
"\c[9]■■■■■■■■■■■","","","",""
"オナニー処理","","","",""
"メーターサイズ","","","",""
"メーター上限","","","",""
"X座標","","","",""
"Y座標","","","",""
"オナニーサイズ","","","",""
"オナニー上限","","","",""
