"Original Text","Initial","Machine translation","Better translation","Best translation"
"┗就寝処理","","","",""
"日付送りでリセットする変数をリセット","","","",""
"機嫌変動","","","",""
"方針　妹せいかつ","","","",""
"信頼変動","","","",""
"深夜経由","","","",""
"\Eうーん…なんだか寝付けないぞ…。","","\EHmm... I can't seem to fall asleep...","\E\font[3]\f[18]\-[2]Hmm... I can't seem to fall asleep...",""
"cg/blackscreen.jpg","","","",""
"BGM/sparrows.mp3","","","",""
"\Eはっ！？自分は一体…！？","","\EHuh?! Who am I...?!","\E\font[3]\f[18]\-[2]Huh?! Who am I...?!",""
"スキル関係が決まったらさらに+補正を付ける","","","",""
"改造","","","",""
"\Eスキル\c[1]自動回復\c[0]のヒントを得た！","","\EObtained the hint of \c[1]skill \c[0]auto recovery!","\E\font[3]\f[18]\-[2]Obtained skill inspiration: \c[1]Auto-recovery!\c[0]",""
"SE/decision4.mp3","","","",""
"スキル関係が決まったらバットスキルを加える","","","",""
"通常処理","","","",""
"お兄ちゃんの性欲上昇","","","",""
"100％で早朝オナニーできます、120％で夢精","","","",""
"\E怪我が治った！","","\EMy injury has healed!","\E\font[3]\f[18]\-[2]I've recovered from my injury!",""
"眠れない","","","",""
"一時変数","","","",""
"回復量","","","",""
