"Original Text","Initial","Machine translation","Better translation","Best translation"
"討伐イベント","","","",""
"背景の表示","","","",""
"cg/bg_08_ruins_a.jpg","","","",""
"cg/bg_22_tower_a.jpg","","","",""
"cg/bg_21_cave_a.jpg","","","",""
"cg/bg_11_forest_a.jpg","","","",""
"cg/bg_13_road_a.jpg","","","",""
"cg/bg_24_wilderness_a.jpg","","","",""
"cg/bg_26_sea_a.jpg","","","",""
"cg/bg_04_farm_a.jpg","","","",""
"Picture/card0000.jpg","","","",""
"進行","","","",""
"ポジティブ","","","",""
"ネガティブ","","","",""
"選択肢あり","","","",""
"通常進行","","","",""
"\E一行はさらに先へと進んだ…","","\EThe line advanced further...","\E\font[3]\f[18]\-[2]Our party continued to advance further...",""
"\E任務は順調だ…","","\EThe mission is going smoothly...","\E\font[3]\f[18]\-[2]Our mission is going well...",""
"\E対象の捜索は続く…","","\EThe search for the target continues...","\E\font[3]\f[18]\-[2]Our search for the target continues...",""
"ツボ","","","",""
"\Eツボだ！","","\EIt's a jackpot!","\E\font[3]\f[18]\-[2]We found a pot!",""
"\E中には…………………","","\ESome of them are................","\E\font[3]\f[18]\-[2]Inside, there is......",""
"アイテム","","","",""
"SE/se_book01.mp3","","","",""
"Picture/card0051.jpg","","","",""
"SE/[System]Get1_default.ogg","","","",""
"\Eお宝発見！！\c[7]\cself[13]\c[0]Gを手に入れた！","","\ETreasure found!!\c[7]\cself[13]\c[0]Obtained G!","\E\font[3]\f[18]\-[2]We found a treasure! \c[7]\cself[13]G obtained\c[0]!",""
"エネミー","","","",""
"Picture/card0018.jpg","","","",""
"\E海産物が現れた！","","\ESeafood has appeared!","\E\font[3]\f[18]\-[2]Seafood has appeared!",""
"SE/sword-slash1.mp3","","","",""
"Picture/card0052.jpg","","","",""
"\E…が撃退した！","","\E...has been repelled!","\E\font[3]\f[18]\-[2]...We fought it off!",""
"\E何もなかった…！","","\EThere was nothing...!","\E\font[3]\f[18]\-[2]There is nothing...!",""
"荷馬車","","","",""
"特殊エンカ","","","",""
"\E商隊の馬車に乗せてもらったぞ…！","","\EI got a ride on the merchant caravan's carriage...!","\E\font[3]\f[18]\-[2]We got a ride on a merchant caravan's carriage!",""
"ゲット","","","",""
"回復回数","","","",""
"\E美味しそうな果実を見つけた！
\c[7]休憩回数+1\c[0]","","\EFound a delicious-looking fruit!
\c[7]Rest count +1\c[0]","\E\font[3]\f[18]\-[2]We found some delicious looking fruits! 
\c[7]+1 rest attempt\c[0]!",""
"SE/decision24.mp3","","","",""
"\E喉の渇きが解消された！","","\EMy thirst has been quenched!","\E\font[3]\f[18]\-[2]Our thirst has been quenched!",""
"お金","","","",""
"\Eこれは…！道端で\c[7]えっちな本\c[0]を拾った！","","\EThis is...! I found an erotic book on the roadside!\c[7]","\E\font[3]\f[18]\-[2]This is...! I picked up a \c[7]naughty book\c[0] on the side of the road!",""
"休憩","","","",""
