"Original Text","Initial","Machine translation","Better translation","Best translation"
"カットイン呼び出しお風呂","","","",""
"みぎ","","","",""
"全て消去","","","",""
"覗く","","","",""
"\f[16]\E覗き中…","","","\E\font[3]\f[16]\-[2]Peeping...",""
"cutin/cutin_158.png","","","",""
"パンコキ","","","",""
"\f[16]\Eオナニー中…","","","\E\font[3]\f[16]\-[2]Masturbating...",""
"cutin/cutin_162.png","","","",""
"妹オナニー","","","",""
"cutin/cutin_163.png","","","",""
"妹絶頂","","","",""
"\f[16]\E絶頂中…","","","\E\font[3]\f[16]\-[2]Climaxing...",""
"cutin/cutin_164.png","","","",""
"妹ふぇらちお","","","",""
"\f[16]\Eフェラチオ中…","","","\E\font[3]\f[16]\-[2]Ongoing Blowjob...",""
"cutin/cutin_148.png","","","",""
"シャンプーしてあげる","","","",""
"\f[16]\Eシャンプー中…","","","\E\font[3]\f[16]\-[2]Shampooing...",""
"cutin/cutin_145.png","","","",""
"シャンプーしてもらう","","","",""
"cutin/cutin_146.png","","","",""
"背中を流してあげる","","","",""
"\f[16]\E背中流し中…","","","\E\font[3]\f[16]\-[2]Washing Back...",""
"cutin/cutin_143.png","","","",""
"背中を流してもらう","","","",""
"\f[16]\Eお背中流し中…","","","\E\font[3]\f[16]\-[2]Washing Back....",""
"cutin/cutin_144.png","","","",""
"オナニー","","","",""
"cutin/cutin_161.png","","","",""
"手コキ","","","",""
"\f[16]\E手コキ中…","","","\E\font[3]\f[16]\-[2]Ongoing Handjob...",""
"cutin/cutin_131.png","","","",""
"手コキ2","","","",""
"cutin/cutin_149.png","","","",""
"手コキ3","","","",""
"\f[16]\E射精中…","","","\E\font[3]\f[16]\-[2]Ejaculating...",""
"cutin/cutin_132.png","","","",""
"えっちしたいフェラ1","","","",""
"cutin/cutin_135.png","","","",""
"えっちしたいフェラ2","","","",""
"cutin/cutin_136.png","","","",""
"尻コキ1","","","",""
"\f[16]\E尻コキ中…","","","\E\font[3]\f[16]\-[2]Ongoing Buttjob...",""
"cutin/cutin_114.png","","","",""
"尻コキ2","","","",""
"cutin/cutin_115.png","","","",""
"挿入1","","","",""
"\f[16]\E挿入中…","","","\E\font[3]\f[16]\-[2]Ongoing Insertion...",""
"cutin/cutin_106.png","","","",""
"挿入2","","","",""
"外だし","","","",""
"cutin/cutin_42.png","","","",""
"フェラフィニッシュ","","","",""
"\f[16]\E飲精中…","","","\E\font[3]\f[16]\-[2]Gulping...",""
"cutin/cutin_137.png","","","",""
"1.4.0/cutin_222.png","","","",""
"アナル挿入1","","","",""
"\f[16]\Eアナル挿入中…","","","\E\font[3]\f[16]\-[2]Ongoing Anal Insertion...",""
"cutin/cutin_110.png","","","",""
"アナル　中出し","","","",""
"cutin/cutin_121.png","","","",""
"見せつけオナニー","","","",""
"cutin/cutin_129.png","","","",""
"見せつけオナニー絶頂","","","",""
"cutin/cutin_130.png","","","",""
"吸い付きフェラ","","","",""
"アナル舐め","","","",""
"\f[16]\Eアナル舐め中…","","","\E\font[3]\f[16]\-[2]Ongoing Rimjob...",""
"cutin/cutin_167.png","","","",""
"背後手コキ","","","",""
"cutin/cutin_168.png","","","",""
"背後手コキ射精","","","",""
"cutin/cutin_169.png","","","",""
"背面手コキ　射精","","","",""
"cutin/cutin_150.png","","","",""
"挿入妹　絶頂","","","",""
"cutin/cutin_108.png","","","",""
"膣内　中出し","","","",""
"\f[16]\Eホールド中…","","","\E\font[3]\f[16]\-[2]Holding...",""
"cutin/cutin_123.png","","","",""
"cutin/cutin_170.png","","","",""
"アナル愛撫","","","",""
"\f[16]\E愛撫中…","","","\E\font[3]\f[16]\-[2]Fondling...",""
"cutin/cutin_63.png","","","",""
"アナル絶頂","","","",""
"cutin/cutin_111.png","","","",""
"アナル　中出し+ホールド","","","",""
"アナル　挿入+ホールド","","","",""
"\f[16]\E乳首ズリ中…","","","\E\font[3]\f[16]\-[2]Ongoing Nipple Tease...",""
"cutin/cutin_141.png","","","",""
"\f[16]\Eパイズリ中…","","","\E\font[3]\f[16]\-[2]Ongoing Boobjob...",""
"cutin/cutin_112.png","","","",""
"cutin/cutin_113.png","","","",""
"お風呂パンコキ","","","",""
"\f[16]\Eパンコキ中…","","","\E\font[3]\f[16]\-[2]Ongoing Pantyjob...",""
"cutin/cutin_133.png","","","",""
"お風呂パンコキ射精","","","",""
"cutin/cutin_134.png","","","",""
"左右","","","",""
"実行処理","","","",""
"消す","","","",""
"妹","","","",""
"なし","","","",""
"お風呂フェラ","","","",""
"シャンプしてあげる","","","",""
"シャンプしてもらう","","","",""
"背中を流す","","","",""
"手コキ　正面","","","",""
"手コキ　背面","","","",""
"手コキ　射精","","","",""
"汎用フェラ1","","","",""
"汎用フェラ2","","","",""
"ぶっかけ","","","",""
"アナル挿入2","","","",""
"正面オナニ","","","",""
"正面オナニ絶頂","","","",""
"飲精","","","",""
"背面手コキ射精","","","",""
"挿入　妹絶頂","","","",""
"お風呂　中出し","","","",""
"アナル中出し+ホールド","","","",""
"アナル挿入+ホールド","","","",""
"乳首くにゅ","","","",""
"パイズリ","","","",""
"パイズリ射精","","","",""
"パンコキ射精","","","",""
