"Original Text","Initial","Machine translation","Better translation","Best translation"
"■お風呂","","","",""
"今日のパジャマ処理","","","",""
"所持しているパジャマが選出されるまでループさせる","","","",""
"パパパパジャマ","","","",""
"\Eそろそろ風呂に入るか…。","","\EShould I take a bath soon...?","",""
"二人で入る","","Enter with two people.","",""
"身体を拭いてあげる","","I will wipe your body.","",""
"一人で入る","","Enter alone.","",""
"\cself[5]","","\cself[5]","",""
"\cself[6]","","\cself[6]","",""
"いい風呂だった！","","It was a great bath!","",""
"B","","","",""
"一人で","","","",""
"cg/bg_01_home_d.jpg","","","",""
"妹","","Younger sister","",""
"\Eはーい、いってらっしゃい。","","\EAlright, have a safe trip.","",""
"cg/blackscreen.jpg","","","",""
"cg/bg_15_bus_a.jpg","","","",""
"SE/se_ofuro.mp3","","","",""
"\E…………","","\E…………","",""
"\E……………………","","\E……………………","",""
"\Eお風呂にゆっくり浸かった。","","\EI leisurely soaked in the bath.","",""
"\Eおかえり。
じゃああたしも入ってくるね。","","\EWelcome back.
Then, I'll come in too.","",""
"\E……………………。","","\E……………………。","",""
"ここに覗きなどの選択肢を入れる","","","",""
"\E代わる代わるお風呂に入った。","","\EWe took turns taking a bath.","",""
"\Eおかえり。","","\EWelcome back.","",""
"\Eお風呂に入った。","","\EI took a bath.","",""
"二人で","","","",""
"A","","","",""
"\Eえ、お兄ちゃんと一緒に…？
…それはないなー。","","\EWhat, together with my big brother...? 
...That's not gonna happen.","",""
"\Eまあ…そうなるよな。
…入ってこよう。","","\EWell... I guess it would turn out like this.
... Let's go inside.","",""
"体を拭く","","","",""
"\E風呂は…無理そうだな。
お兄ちゃんが身体拭いてあげるからそっち向いてな。","","\ETaking a bath... seems impossible. 
I'll help you dry off, so face the other way, big brother.","",""
"\E…ん、うん…。","","\E...Hmm, yeah...","",""
"\Eうーん、すごい汗だぞ…。","","\EHmm, that's some serious sweat...","",""
"\E…ん……。","","\E...Hmm...","",""
"\E…………。","","\E………….","",""
"\E…ありがとう、お兄ちゃん…。","","\E...Thank you, big brother...","",""
"\E妹の身体を拭いてあげたぞ…。","","\EI wiped my sister's body...","",""
"\Eパジャマ、新しいの出しておくな。","","\EMake sure to put out the new pajamas.","",""
"\Eうん。","","\EYeah.","",""
"\Eさてこっちも風呂に入ってさっぱりするか…。","","\EWell, I guess I'll take a bath and refresh myself too...","",""
"入浴","","","",""
"SE/se_capoon.mp3","","","",""
"\Eうむ！実にいいお風呂だった！","","\EHmm! That was a really nice bath!","",""
"\Eいや、お風呂はもう少しあとにしよう…。","","\ENo, let's wait a little longer for the bath...","",""
"\E……ふー。","","\E...phew.","",""
"\E……ふいーあっちー。","","\E...Fuiiatchi.","",""
"\Eんっく……ん……ぷはー！くぅーっ！！","","\ENnku... N... Puhah! Kuuhh!!","",""
"\Eなんだか親父に似てきたな…。","","\EI'm starting to resemble my old man somehow...","",""
"風呂出","","","",""
"パジャマ乱数","","","",""
"身体を拭いてあげた","","","",""
