"Original Text","Initial","Machine translation","Better translation","Best translation"
"パイズリ","","","",""
"妹","","","",""
"\Eえっと…胸でって…どうすればいいの？","","\EUm... With my chest... What should I do?","",""
"\Eはさむ？
ん…と……こ、こんなかんじ？","","\EPut it between? 
Um...is this...is this how it's supposed to be?","",""
"\Eんー…なんかヘンな感じ…。
こんなのが気持ちいいの？","","\EHmm... It feels strange...
Is this supposed to feel good?","",""
"\Eうん…わかった。
動かしてみるね…。","","\EOkay... I got it. 
I'll give it a try and move it...","",""
"パイズリカットインです","","","",""
"↓動きます","","","",""
"hscene/h_s09_ef_up.png","","","",""
"\E…ど、どうかな？
お兄ちゃん、これちゃんとできてる？","","\E...H-How is it? 
Big brother, am I doing this right?","",""
"\Eきもちいいの？","","\EDoes it feel good?","",""
"\Eもっと早く？
う、うん…やってみるね。","","\EFaster? 
Y-yeah... I'll give it a try.","",""
"hscene/h_s09_pose03.png","","","",""
"hscene/h_s09_ef_syasei01.png","","","",""
"hscene/h_s09_ef_syasei02.png","","","",""
"hscene/h_s09_ef_syasei03.png","","","",""
"hscene/h_s09_ef_syasei04.png","","","",""
"hscene/h_s09_ef_syasei05.png","","","",""
"\Eきゃっ！
わっ…わっ…ほんとに出ちゃった…","","\EKyaa!
Wa...wa...it really came out...","",""
"\Eすごいね。
お兄ちゃんはどこでもイけるんだね、ふふ。","","\EWow, amazing.
Big brother can go anywhere, huh? Hehe.","",""
"\Eはむっ……
ちゅ…ちゅぅ…っ…ん……♥","","\EHamu...
Chu...chu...n...♥","",""
"\E…………。","","\E………….","",""
"\Eん…こくん♥
はい！お疲れさま、お兄ちゃん。","","\EHmm... *thump*
Yes! Good job, big brother.","",""
"\Eふふ、胸でなんて…
お兄ちゃんそんなに妹のおっぱいが好きなの…？","","\EHehe, in your heart... 
Brother, do you really like your little sister's breasts that much...?","",""
"\Eじゃあ…こういうのは、好き？","","\ESo... do you like this kind of thing?","",""
"乳首ずりカットインです","","","",""
"\Eどう？気持ちいい？
ほら、お兄ちゃんから溢れたトロトロが糸引いてるよ。","","\EHow is it? Feels good? 
See, the gooey stuff overflowing from big brother is trailing a thread.","",""
"\Eえへ、じゃ挟んであげるね。","","\EEhe, I'll sandwich it for you.","",""
"\Eん、お兄ちゃんの固くて…あったかい…。
ぴくぴくしてる…。","","\EHmm, your embrace feels firm and warm, big brother...
I'm trembling...","",""
"\Eふふ…
じゃあ妹のおっぱいでもっと気持ちよくなろうね。","","\EHehe...
Well then, let's make you feel even better with my little sister's breasts.","",""
"\Eえへ～、お兄ちゃん気持ちよさそ。","","\EEhe~, it looks like it feels good, big brother.","",""
"\E妹のおっぱいきもちいい？
もっと気持ちよくなりたい？","","\EAre my little sister's breasts feeling good? 
Do you want to feel even better?","",""
"\Eふふ、精子ぴゅーって出してすっきりしようね。","","\EHehe, let's release some sperm and feel refreshed.","",""
"\Eわぁ…いっぱいだしたねー
えへへ、気持ちよかった？","","\EWow... You released a lot, huh? 
Hehe, did it feel good?","",""
"\Eじゃあおちんちんお掃除するねー。","","\EOkay, I'll clean your peepee.","",""
"\Eはむっ……んっ……ちゅ…ちゅる…ん…♥","","\EHamu... nnn... chu... churu... n... ♥","",""
"\Eん……はーい、キレイになったよ♥
ふふ、大丈夫？満足した？","","\EHmm... Yes, I've become beautiful♥
Hehe, are you okay? Are you satisfied?","",""
"X","","","",""
"Y","","","",""
"パイズリ回数","","","",""
