"Original Text","Initial","Machine translation","Better translation","Best translation"
"┗食事処理","","","",""
"\f[20]今日は外食だ！　　　　\f[12]300G","","","",""
"親父帰宅END","","","",""
"cg/bg_01_home_d.jpg","","","",""
"親父","","Father","",""
"\Eおう、今帰ったのか。","","\EOh, you just got back.","",""
"\E…は？
え、親父？","","\E...What?
Huh, dad?","",""
"\E妹とは手紙でちょいちょいやりとしてててな。
お前のこともよく聞いている。","","\EI often exchange letters with my little sister.
I also often hear about you.","",""
"\E…それで、だ。
多少のことには目をつむるが…まあ分かるな？","","\E... And, well. 
I can turn a blind eye to some things... Well, you understand, right?","",""
"\E……。","","\E...","",""
"\Eそして俺は親父の手配するままに兵役に出された。","","\EAnd I was sent to military service as arranged by my father.","",""
"\E訓練という名のしごきの日々、硬い寝床、冷めたご飯。
ああ、家が恋しい…。","","\EDays of harsh training, hard beds, and cold meals, all under the name of discipline. 
Oh, how I miss home...","",""
"message","","message","",""
"\E残念ながらあなたの冒険はここで終わってしまった…！","","\EUnfortunately, your adventure has come to an end here...!","",""
"\Eここにたどり着けるのは割と最低なお兄ちゃんです。
もっと妹の信頼を得るような行動を心がけましょう。","","\EThe one who can reach here is a pretty lousy older brother.
Let's strive to earn more trust from our little sister through our actions.","",""
"<C>\EBADEND　～兵役～","","<C>\EBAD END - Military Service -","",""
"\E年がら年中冒険に出ているあの親父が帰ってきた。","","\EThat old man who is always going on adventures has returned.","",""
"\Eお前に妹のことは任せられないのだと、
語らずともその目はそう言っていた。","","\EI could tell from your eyes that you couldn't be trusted with my sister, 
even without saying a word.","",""
"\E確かに妹のことを疎かにしていたのかも知れない…。","","\EI might have been neglecting my little sister...","",""
"\E狙ったのでなければ結構なダメお兄ちゃんです。
まずは地道に信頼を重ね妹の気持ちを大事にしましょう。","","\EIf it's not intentional, you're quite a useless big brother.
First, let's steadily build trust and cherish our sister's feelings.","",""
"<C>\EBADEND　～帰宅～","","<C>\EBAD END - Returning Home -","",""
"妊娠END判定","","","",""
"休息から","","","",""
"\Eふぁ……おっと、もうこんな時間か…。","","\EPhew... Oops, is it already this late...?","",""
"妹","","Younger sister","",""
"\Eお兄ちゃんおかえり。
ただいま。","","\EWelcome back, big brother.
I'm home.","",""
"\Eただいま、おかえり。","","\EWelcome back, I'm home.","",""
"\E今日はなんだか大変なことになっちゃったね…
大丈夫かな…ちょっと怖いね。","","\EToday, something really difficult happened...
I wonder if everything is okay... It's a little scary.","",""
"7で温泉イベント完了　以降は討伐へ","","","",""
"外出着での帰宅処理","","","",""
"1","","1","",""
"\Eただいまー！","","\EI'm back!","",""
"\Eおかえり。","","\EWelcome back.","",""
"\Eお兄ちゃんもおかえり～","","\EWelcome back, big brother~","",""
"\Eん、ただいま。","","\EHmm, I'm home.","",""
"3","","3","",""
"\Eはー…なんだか色々と大変だったね…
お兄ちゃん、お疲れさま。","","\EPhew... It seems like you've been through a lot...
Big brother, well done.","",""
"\Eふぅ…久々の我が家に帰ってきたぞ…。","","\EPhew... I've finally returned to my home after a long time...","",""
"\Eじゃ、あたし着替えてくるね。","","\EWell, I'm going to change my clothes.","",""
"\E……………………。","","\E……………………。","",""
"お夕飯の処理","","","",""
"\Eお兄ちゃん疲れてるでしょ。
今日はあたしがごはん作るから休んでていいよ。","","\EYou look tired, big brother. 
I'll make dinner today, so you can take a break.","",""
"SE/cook1.mp3","","","",""
"\Eおまたせー。
おにーちゃーん、並べるの手伝って。","","\ESorry for the wait.
Big brother, help me line them up.","",""
"\Eいただきます。","","\EThank you for the meal.","",""
"食事終了","","","",""
"休日処理","","","",""
"\Eおかえり、お兄ちゃん！","","\EWelcome back, big brother!","",""
"\Eただいまー、おかえり。","","\EWelcome back, I'm home.","",""
"平日処理","","","",""
"\Eただいま。","","\EI'm home.","",""
"\Eなんだかすごく久しぶりな気がするね、おにいちゃん。","","\EIt feels like it's been a really long time, big brother.","",""
"\Eだな。","","\EI see.","",""
"\E久々の我が家に帰ってきたぞ…。","","\EI've finally returned to my home after a long time...","",""
"妊娠判定","","","",""
"\Eあれ、お兄ちゃん怪我してる！","","\EHuh, big brother, are you hurt?","",""
"\Eん？ああ、ちょっとな。","","\EHuh? Ah, just a moment.","",""
"\Eダメだよ放っておいちゃ…ちょっとまっててね…。","","\ENo, don't leave me alone... Just wait a moment, okay...","",""
"\Eはい、これでよし。
今日はあたしがごはん作るからね。","","\EYes, that's it.
I'll make dinner today, okay?","",""
"\E妹に手当してもらったぞ。","","\EI got my sister to give me some pocket money.","",""
"怪我をしていない且つ31日目以上経過でカナ、ユイ登場の可能性","","","",""
"ユイ食事イベント","","","",""
"SE/door-wood-knock2.mp3","","","",""
"\E（コンコンコン）","","\E(Knock, knock, knock)","",""
"\Eん、誰だ…？","","\EWho... is it?","",""
"\Eあ、ユイじゃないか。
どうしたんだこんな時間に。","","\EAh, it's Yui.
What's up at this hour?","",""
"ユイ","","Yui","",""
"\Eこんばんは、お兄ちゃん。","","\EGood evening, big brother.","",""
"\Eえっと、お夕飯いっぱい作り過ぎちゃって…。
食べるかなーなんて思って。","","\EUm, I ended up making too much dinner...
I'm wondering if I should eat it.","",""
"\Eおおっ！食べる食べる！","","\EOh wow! Let's eat, let's eat!","",""
"\Eよかった、じゃあ…これ。","","\EGood, then... here.","",""
"\Eこんなに！？ありがとうユイ。","","\EThis much!? Thank you, Yui.","",""
"\Eいいえ、どういたしまして。","","\ENo, you're welcome.","",""
"\E…………………………………………。","","\E.......................................................","",""
